acc	Symbol	logFC_NtoIS	logFC_IStoC	logFC_CtoI	logFC_ItoA	adjPVal_NtoIS	adjPVal_IStoC	adjPVal_CtoI	adjPVal_ItoA
Q9UP83	COG5	0.0706689	0.249629	-0.220888	0.196393	0.739049	0.00241855	0.00324044	0.00323565
P84095	RHOG	-0.0597151	-0.0696923	-0.0690812	0.116893	0.742971	0.220795	0.23546	0.0245502
Q13310	PABPC4	-0.0383049	-0.029774	0.0144107	-0.0640376	0.752698	0.417795	0.723136	0.0459941
Q9BWC9	HSU79303	0.0680343	0.0720419	0.0821245	-0.192315	0.753663	0.233046	0.139677	0.00107146
Q9NZ32	ACTR10	-0.0434385	0.125717	-0.041298	0.0325185	0.753663	0.00535643	0.277984	0.346951
Q9Y2X3	NOP5/NOP58	-0.0436707	0.000923821	0.225338	-0.236769	0.753663	0.985958	2.45E-05	3.70E-06
Q9Y519	C22orf5	-0.0483707	-0.147791	0.0522508	0.00128675	0.753663	0.003499	0.212892	0.978632
Q05084	ICA1	-0.0910487	-0.151186	-0.0653424	-0.0479855	0.75611	0.0806744	0.431857	0.482806
O96017	CHEK2	-0.0518255	-0.0122457	0.0412331	-0.00192181	0.75629	0.828794	0.397344	0.970682
O94921	PFTK1	0.0609737	0.158661	-0.109816	-0.00886203	0.756306	0.00938184	0.0391992	0.877885
P17947	SPI1	-0.0617426	-0.0823766	-0.0629648	0.115975	0.756306	0.162899	0.287881	0.027172
P52294	KPNA1	-0.0402113	-0.0458401	-0.0438981	0.0667863	0.756306	0.2301	0.244861	0.046578
Q13563	PKD2	-0.0503674	-0.101195	0.197669	-0.128794	0.756306	0.023285	0.000308556	0.00343028
Q9GZV4	EIF5A2	-0.0426502	-0.0350434	0.0792804	-0.128755	0.756306	0.354058	0.0379244	0.000748389
Q9NXG6	PH-4	-0.0539881	-0.023043	0.138456	-0.188841	0.756306	0.655234	0.00800056	0.000280598
P09661	SNRPA1	-0.0294642	-0.0485835	-0.0303579	0.0272973	0.76081	0.0918795	0.301648	0.298766
Q9NZM4	GLTSCR1	0.0489708	-0.104041	0.196846	-0.208744	0.76081	0.0321793	0.000420026	0.000061125
O75367	H2AFY	0.0529017	0.0285468	-0.117331	0.192096	0.760921	0.58441	0.0179648	0.000237576
Q9Y366	IFT52	0.0464134	0.11262	-0.10161	0.0598759	0.761972	0.0204474	0.0237995	0.133848
Q9BXS9	SLC26A6	-0.0527874	-0.0820316	0.270263	-0.242159	0.762346	0.0919204	2.45E-05	2.34E-05
O95861	BPNT1	-0.0837987	0.212697	-0.305702	0.219211	0.765918	0.0130308	0.000517894	0.00237502
P62891	RPL39	-0.0214561	0.0163358	-0.0828653	0.0816015	0.765918	0.437539	0.000790421	0.000301175
Q9Y6A5	TACC3	-0.0620947	-0.170597	0.177326	-0.0813362	0.765918	0.0119754	0.00566608	0.125391
O60762	DPM1	-0.0348533	0.124542	-0.141229	0.133613	0.77045	0.00192446	0.000420026	0.000174093
Q06330	RBPSUH	0.0479473	0.048582	-0.160131	0.183018	0.77045	0.286934	0.00150995	0.00016726
Q9NQS7	INCENP	-0.0784542	-0.215572	0.200852	-0.0870858	0.772428	0.00585578	0.00503064	0.179968
O75962	TRIO	0.0349388	-0.104016	0.041756	0.00253647	0.773877	0.00506294	0.159609	0.939423
Q8WTV0	SCARB1	-0.072657	-0.0924625	-0.0868988	0.114096	0.775345	0.210719	0.242847	0.0819938
Q9HBM0	VEZT	0.0514416	-0.0192074	-0.183778	0.21826	0.775345	0.727813	0.00164695	0.00014329
P10600	TGFB3	-0.0532371	-0.116679	0.0711816	-0.0403857	0.775516	0.0222891	0.115036	0.343966
P0DPF3	NBPF20	0.0777678	-0.47083	0.254237	-0.187407	0.778376	0.000151296	0.0123473	0.0292814
Q53QZ3	ARHGAP15	0.0353972	0.136503	-0.0227841	-0.0250366	0.779976	0.00119031	0.478862	0.384575
Q8N5H7	SH2D3C	0.0551931	-0.00217281	-0.155823	0.212643	0.779976	0.977705	0.00390525	0.000145888
Q01081	U2AF1	-0.0338968	-0.0823147	0.0326897	-0.0122348	0.782698	0.0141028	0.257875	0.671267
P06454	PTMA	-0.0459871	-0.134656	0.0892965	-0.0580341	0.783884	0.0102312	0.0543368	0.164929
Q15424	SAFB	0.0362494	-0.0576714	0.170142	-0.16342	0.783884	0.115811	0.000180701	5.95E-05
Q9NPA3	MID1IP1	-0.0789746	-0.036123	-0.175211	0.249873	0.783884	0.678492	0.0143641	0.000536657
Q9Y6F1	PARP3	0.0504182	0.0579835	-0.0500393	0.135043	0.783884	0.239251	0.304105	0.00317957
Q13077	TRAF1	-0.0482867	-0.121137	0.0418574	-0.0417067	0.785537	0.0208905	0.399772	0.341281
P51959	CCNG1	-0.0487372	0.112473	-0.000102746	-0.0243098	0.789814	0.0287535	0.99847	0.599954
Q3B7T1	C10orf137	-0.0431643	-0.0540416	0.158984	-0.187862	0.793476	0.226894	0.00131052	0.000106715
Q9BX67	JAM3	0.126428	-0.00599949	0.286797	-0.467473	0.793476	0.971684	0.0125389	0.000229601
P50991	CCT4	-0.0342027	0.121603	0.0282373	-0.0849055	0.794732	0.00532309	0.508271	0.0181532
P68366	TUBA1	-0.0505294	-0.210372	0.138106	-0.0961489	0.794732	0.00192446	0.0141403	0.0489818
Q6P3W2	ZCSL3	-0.0351725	0.124133	-0.0864933	0.0333039	0.794732	0.00514706	0.0270443	0.338167
Q8TB52	FBXO30	-0.0410614	0.141596	-0.0350303	-0.0261272	0.794732	0.00441481	0.441259	0.526886
Q96B42	TMEM18	0.0367588	0.0672635	-0.133028	0.106196	0.794732	0.0919204	0.00176633	0.00319275
Q96B54	C19orf37	0.0442591	-0.217395	0.134676	-0.168473	0.794732	0.000615737	0.00905864	0.000927491
Q9Y5P6	GMPPB	-0.0505602	-0.0922409	-0.0615651	0.112574	0.794732	0.0858727	0.239667	0.0177501
P38484	IFNGR2	0.0283155	0.0675228	0.0172036	-0.0295288	0.794817	0.0240324	0.539177	0.213418
Q9NQX6	ZNF331	0.028441	-0.0678096	0.108887	-0.04537	0.794817	0.0258564	0.00143767	0.104807
Q9ULD4	BRPF3	-0.0350106	-0.066341	0.166559	-0.168794	0.798132	0.079522	0.000275001	0.000061125
P13765	HLA-DOB	-0.0361515	-0.0140443	-0.0902412	0.0718781	0.799795	0.7479	0.0248012	0.0467766
Q86YS7	KIAA0528	0.0395545	-0.0418864	0.134344	-0.176516	0.799795	0.320693	0.00259083	0.000115169
Q969X5	ERGIC1	0.0364827	-0.140062	0.117922	-0.173652	0.799795	0.00283867	0.00471739	0.000104843
Q96DX8	RTP4	0.0443767	0.148752	-0.0449611	0.0213299	0.799795	0.00624242	0.349791	0.645917
P43250	GRK6	-0.0601363	-0.0421004	-0.118174	0.141547	0.80357	0.541807	0.0634624	0.0161187
P55083	MFAP4	-0.079659	-0.138501	0.0840094	-0.197644	0.80357	0.120179	0.351539	0.0134148
Q969V6	MKL1	-0.038702	-0.146595	0.0678712	-0.00574561	0.80357	0.003499	0.108216	0.896741
P20645	M6PR	0.04734	0.0295869	-0.14542	0.190333	0.805437	0.571164	0.0062263	0.000338358
Q8NAB2	KBTBD3	-0.0274096	0.113229	-0.093484	0.0203858	0.805437	0.00316318	0.00660704	0.463443
Q99733	NAP1L4	-0.0272165	-0.0888763	0.0265938	0.00968728	0.806979	0.00937843	0.40449	0.754571
Q13616	CUL1	-0.035537	-0.00808084	0.140853	-0.148066	0.808471	0.86192	0.00102726	0.000216564
Q6UW68	UNQ501	0.0285433	0.0718561	0.0142287	-0.0514931	0.81176	0.0234336	0.650443	0.0448078
P06734	FCER2	-0.0977578	-0.302725	-0.17466	0.0748267	0.811978	0.0187867	0.164628	0.537344
Q8TAG9	EXOC6	-0.0335539	0.13184	-0.00803795	-0.0129457	0.811978	0.00237265	0.847503	0.708828
Q9BRQ8	AMID	0.0304597	-0.0265482	-0.0113537	0.0069823	0.812041	0.437859	0.758283	0.828169
9BXJ1	C1QTNF1	-0.08802	-0.194754	-0.038631	-0.0238164	0.813817	0.0591916	0.744697	0.817613
Q9H3L0	C2orf25	-0.0426332	0.155754	-0.120982	0.0801676	0.813817	0.00321407	0.00800056	0.042826
Q6ZUT9	MGC24039	0.0771134	0.132709	-0.282278	0.191595	0.813946	0.113576	0.0014745	0.00880956
Q96GE4	CCDC45	0.0441127	-0.0439031	0.134086	-0.186817	0.814093	0.374649	0.00637061	0.000237576
P52565	ARHGDIA	-0.0414896	-0.15744	-0.0400821	0.114845	0.814324	0.00506294	0.444669	0.0120907
Q16763	UBE2S	-0.0639792	-0.230139	0.138952	-0.018964	0.814983	0.00853119	0.0745274	0.80736
Q9BS18	ANAPC13	0.0310366	0.0984133	-0.0701921	0.0333272	0.814983	0.00793108	0.0295754	0.256023
Q14289	PTK2B	-0.0488094	-0.135839	0.0596383	-0.054601	0.814985	0.022131	0.2833	0.270135
P17813	ENG	-0.0567822	-0.183103	0.161597	-0.0557496	0.820341	0.00650453	0.00800056	0.327057
P30049	ATP5D	-0.0431131	-0.0254873	-0.140962	0.155567	0.820341	0.63852	0.00946898	0.00235279
P40259	CD79B	0.0555872	0.110136	-0.248249	0.230047	0.820341	0.0635486	0.000667787	0.000453786
P58557	C21orf57	0.0260368	-0.113097	0.0296359	-0.029801	0.820341	0.00206264	0.334693	0.271905
Q13409	DYNC1I2	0.0379945	0.142788	-0.101749	0.0696778	0.820341	0.00321407	0.0129073	0.0524403
Q969H8	C19orf10	-0.0541594	-0.16808	0.196942	-0.220984	0.820341	0.0147287	0.00350799	0.000533663
Q96IK1	FAM44B	0.0325499	0.0811436	0.0539826	-0.117474	0.820341	0.0318952	0.108802	0.000922779
Q9HC16	APOBEC3G	0.0555546	0.165539	-0.189693	0.179486	0.820341	0.0113386	0.00310074	0.00199573
Q9UQN3	CHMP2B	-0.0382172	0.158973	-0.043083	-9.22E-05	0.820341	0.00262158	0.346027	0.998506
P17026	ZNF22	0.0353578	0.127128	-0.0254156	-0.0238928	0.820968	0.00465478	0.512313	0.496701
O43293	DAPK3	-0.0483902	-0.171382	0.067939	-0.0779164	0.822369	0.00366299	0.137012	0.0574157
P30044	PRDX5	0.0380381	0.0539329	-0.174926	0.203288	0.822369	0.207574	0.000723027	6.50E-05
P42704	LRPPRC	0.0285783	0.114344	-0.0701856	0.0069731	0.822369	0.00273746	0.0241998	0.830246
Q7L4I2	RSRC2	-0.0380251	-0.030045	0.137148	-0.183166	0.822369	0.525306	0.00348012	0.000149422
Q9BY41	HDAC8	0.0302896	-0.0653383	0.130175	-0.139681	0.822369	0.0602898	0.00154899	0.000303006
Q9UBB4	ATXN10	0.0291211	0.115451	-0.0861772	0.0142308	0.822369	0.00441481	0.0149367	0.677117
O43707	ACTN4	-0.0446771	-0.117403	-0.0847014	0.14522	0.82265	0.0381543	0.129067	0.00587184
Q9H0K6	PUS7L	-0.0279862	0.139396	-0.0342429	-0.0356736	0.825606	0.00183502	0.388383	0.284715
Q9H1B5	XYLT2	-0.0345477	-0.116338	0.065686	-0.0518789	0.825679	0.013058	0.115958	0.16795
Q9NWW0	HCFC1R1	-0.0452161	-0.0636727	-0.0780581	0.112309	0.825679	0.248614	0.156848	0.0247818
Q9UIC8	LCMT1	0.0447647	0.0961388	-0.185594	0.207926	0.825679	0.0673365	0.00143078	0.000178995
P61962	WDR68	-0.0395269	-0.0104284	-0.113866	0.190168	0.825863	0.85544	0.0191272	0.000227231
P26885	FKBP2	-0.0277193	-0.181549	0.182434	-0.217726	0.829123	0.000122719	5.99E-05	1.98E-06
Q01081	U2AF1	-0.0347512	-0.118427	0.165123	-0.152773	0.829123	0.0140992	0.0009496	0.000559313
Q8WVS4	WDR60	0.041423	-0.0253829	0.153401	-0.167249	0.829123	0.641367	0.00363549	0.000781208
Q9BVT8	C7orf21	-0.0451769	-0.0667253	-0.0962088	0.111312	0.829123	0.236036	0.0905337	0.0314842
Q9BZJ0	CRNKL1	0.0267123	0.114358	-0.0816337	0.0292518	0.829123	0.00496283	0.0225126	0.357241
Q9H2P0	ADNP	0.0365721	-0.0144419	0.150566	-0.111017	0.829123	0.771373	0.00158144	0.00487118
Q9Y6M4	CSNK1G3	-0.0302172	0.128362	-0.0414969	0.014809	0.829123	0.00596367	0.346118	0.726154
P98198	ATP8B2	-0.0391006	-0.167555	0.216588	-0.227232	0.829621	0.00183502	0.000135108	1.92E-05
Q6X4W1	NELF	0.0351854	-0.158741	0.216732	-0.2635	0.831588	0.00237454	0.000108214	1.98E-06
O95232	CROP	-0.0443363	-0.0134764	0.178011	-0.227805	0.8323	0.837489	0.00244948	0.00011786
P19367	HK1	-0.0232513	-0.0297551	-0.0530167	0.0680189	0.8323	0.315735	0.0722857	0.0134148
Q15428	SF3A2	-0.0442034	-0.108315	-0.04322	0.0800871	0.834095	0.063912	0.48975	0.126338
Q9BR84	ZNF559	-0.0388057	0.0262561	0.0743085	-0.1889	0.834881	0.614193	0.108224	0.000221405
P49207	RPL34	-0.0322456	0.189009	-0.160229	0.0133062	0.835109	0.000227217	0.000505181	0.73812
P10768	ESD	-0.0374795	0.171937	-0.0671932	0.0112027	0.837786	0.00200297	0.114234	0.803042
P62910	RPL32	0.0258601	0.0506475	-0.116168	0.0887213	0.837786	0.151679	0.00196344	0.00362064
Q9NXR8	ING3	-0.0285762	-0.0518219	-0.0261594	-0.037537	0.837786	0.158522	0.502469	0.265465
O43303	CP110	-0.0303554	-0.0602074	0.138597	-0.0930853	0.840192	0.123488	0.00140431	0.00758472
P62333	PSMC6	-0.0438713	0.169098	-0.100862	0.0918859	0.843548	0.00617851	0.0503287	0.0488978
P19174	PLCG1	0.0340321	-0.138556	0.134051	-0.109422	0.844189	0.00346658	0.00249705	0.00470509
Q16560	U1SNRNPBP	0.028678	-0.116322	0.0845284	-0.086192	0.844189	0.00366299	0.0125648	0.00572397
Q8IWV7	UBR1	-0.0354652	0.00256363	-0.110341	0.093196	0.846682	0.966004	0.0089031	0.0100844
Q13433	SLC39A6	0.0382594	0.106536	-0.144674	0.167998	0.849606	0.0504931	0.00732914	0.0010814
Q9BV20	MGC3207	0.037487	0.0932676	-0.172648	0.138982	0.849606	0.0724106	0.00154899	0.00260266
Q6VY07	PACS1	-0.0523395	-0.154287	-0.0475806	0.0303447	0.850643	0.0372345	0.537212	0.671787
Q96N66	LENG4	0.0320117	-0.171905	0.115725	-0.0867828	0.852644	0.00118491	0.00720392	0.0209862
Q14240	EIF4A2	0.0218048	-0.0183933	0.109283	-0.146901	0.854911	0.541305	0.000637531	1.54E-05
Q8N5C6	FLJ10379	-0.0281199	0.112889	-0.0692673	-0.00528667	0.857706	0.00624242	0.0477601	0.887546
Q9UBB9	TFIP11	0.0493197	-0.319302	0.264574	-0.238602	0.858716	0.000227217	0.000637531	0.000516927
P35269	GTF2F1	-0.0310985	0.0128238	-0.137066	0.13128	0.85896	0.786417	0.0029688	0.00165521
P20273	CD22	-0.0496112	-0.142426	0.00257824	-0.0452018	0.859508	0.0464531	0.977647	0.504146
A0A096LP55	LOC440567	-0.0206282	-0.0355712	-0.0536429	0.0723571	0.861362	0.21137	0.0613875	0.00751537
Q6ZYL4	GTF2H5	-0.0353551	0.175948	-0.175466	0.148397	0.861362	0.00183502	0.000831253	0.00116478
Q9UBR2	CTSZ	0.0410437	-0.326131	0.326255	-0.262431	0.861362	0.000122719	5.96E-05	9.11E-05
P40425	PBX2	0.0310191	-0.26741	0.31696	-0.34274	0.863	1.32E-05	1.70E-06	1.24E-07
P46939	UTRN	0.038179	0.112344	0.0513864	-0.0587125	0.864185	0.0564184	0.412495	0.281308
P98175	RBM10	0.0257567	-0.136681	0.0699816	-0.0450408	0.864185	0.00206264	0.0514879	0.161164
Q8N5C7	DTWD1	-0.025587	0.140744	-0.0620948	0.0367072	0.864185	0.00212757	0.109042	0.297121
Q9NZD8	SPG21	0.0457247	0.185104	-0.20021	0.259553	0.864185	0.00624242	0.00237857	9.97E-05
Q07955	SFRS1	-0.0222591	-0.0748798	0.185281	-0.18763	0.864925	0.0256197	1.38E-05	2.81E-06
Q969G3	SMARCE1	0.0372983	0.108794	0.0597544	-0.148675	0.864925	0.03517	0.196686	0.0016389
P38117	ETFB	-0.0504026	0.0899732	-0.236438	0.274466	0.865647	0.194337	0.00249705	0.000256721
Q15286	RAB35	-0.0236093	-0.122672	0.15516	-0.172047	0.865647	0.00262158	0.000243468	2.22E-05
Q86U42	PABPN1	0.0191378	-0.147881	0.167646	-0.1904	0.865647	0.000122719	1.38E-05	1.12E-06
Q13601	HRB2	0.0262054	0.118116	-0.0955458	0.0409658	0.866827	0.00937843	0.020801	0.248275
A6NDU8	LOC285636	0.0194444	0.0793266	-0.00279798	-0.0384217	0.86714	0.00759953	0.93345	0.0923665
P15954	COX7C	-0.0186137	0.0831859	-0.0644983	0.0531564	0.86714	0.00441481	0.010528	0.0178454
O43292	GPAA1	0.0366808	-0.0914343	-0.126854	0.206319	0.868275	0.0830328	0.0202221	0.000303006
O43639	NCK2	-0.0375907	-0.0367252	0.174103	-0.22567	0.868275	0.519825	0.00249705	0.00011786
O60729	CDC14B	-0.0376616	-0.0407945	-0.124582	-0.00251546	0.868275	0.474217	0.0291631	0.969773
Q2NKX9	LOC388969	0.0370193	0.160632	-0.191289	0.110665	0.868275	0.00803265	0.0014636	0.0210049
Q7Z460	CLASP1	0.0229189	-0.0542523	0.119065	-0.104258	0.868275	0.0978448	0.0010913	0.00101955
Q92551	IHPK1	0.0276804	-0.138053	0.138843	-0.116263	0.868275	0.003499	0.00193604	0.00245943
Q96GZ6	SLC41A3	0.02993	-0.0628649	0.172604	-0.204032	0.870673	0.143569	0.000519053	3.56E-05
Q96L73	NSD1	-0.0192024	-0.0622617	0.0930908	-0.0752061	0.870761	0.0217124	0.00161453	0.00331236
P59998	ARPC4	-0.0366457	0.0407935	-0.158912	0.20789	0.872938	0.452449	0.00545732	0.000287242
Q96BT7	ALKBH8	0.0370631	0.126134	-0.21066	0.127665	0.873166	0.0406025	0.00103303	0.00847686
O95070	YIF1A	0.0230039	0.0088226	0.0802219	-0.101797	0.873288	0.818913	0.0135265	0.0013461
P60953	CDC42	-0.0316508	-0.115716	0.160208	-0.202328	0.873409	0.0221243	0.00201546	0.000104843
Q8TAB5	FLJ38984	-0.0314751	-0.149457	0.14783	-0.0875721	0.873852	0.00212757	0.00119987	0.0206467
Q9NPF5	DMAP1	0.0292914	-0.0706246	0.149652	-0.1752	0.873852	0.104716	0.00158144	0.000159727
P53701	HCCS	0.0266265	0.109213	-0.0631194	0.0479753	0.874376	0.0102312	0.0871432	0.153468
O95067	CCNB2	-0.0705769	-0.147201	0.118603	0.067978	0.874968	0.18938	0.288393	0.492294
P18754	RCC1	-0.0491954	-0.197413	0.125305	-0.144576	0.874968	0.0137955	0.0805326	0.0251295
Q8IWA4	MFN1	0.0304918	0.0557197	0.0816708	-0.156802	0.875177	0.258098	0.108334	0.00136188
Q9UBZ4	APEX2	-0.0399167	-0.0304248	-0.145131	0.187544	0.876661	0.645272	0.0212018	0.00213407
Q68E01	C1orf60	0.027775	-0.0639325	0.122757	-0.156862	0.879924	0.131748	0.00503053	0.000339918
Q9Y6W8	ICOS	-0.0541276	-0.149412	-0.066019	-0.0203288	0.881184	0.0860115	0.476795	0.823743
Q9NZ01	GPSN2	-0.0300907	-0.0966941	-0.0420289	0.0598631	0.884013	0.0488532	0.408021	0.17157
Q02040	CXYorf3	-0.0278532	-0.114402	0.123321	-0.127485	0.884993	0.0182626	0.00768799	0.00293266
Q15040	JOSD1	0.0266805	-0.0210103	0.140212	-0.170304	0.885324	0.638647	0.00187139	0.000135215
P42229	STAT5A	-0.0287935	-0.196948	0.122864	-0.162856	0.887195	0.00133096	0.0135725	0.00103489
Q92841	DDX17	0.0454104	-0.0200532	-0.288858	0.300956	0.887195	0.807281	0.000866741	0.000213434
Q12770	SCAP	-0.0252494	-0.112444	0.165227	-0.165981	0.888475	0.0134142	0.000617848	0.00016726
Q8NDW4	ZNF248	0.0353876	-0.0477755	0.167821	-0.210264	0.888475	0.401371	0.0037441	0.00023635
P62826	RAN	-0.0279129	0.147934	-0.0549446	0.0104139	0.889078	0.00346658	0.181311	0.80808
Q9NQ31	C11orf17	-0.0365866	0.0028546	-0.164219	0.15661	0.889078	0.971149	0.00703534	0.00470404
Q9BZK7	TBL1XR1	0.0363585	0.0671748	0.119475	-0.0934588	0.889098	0.289371	0.0668085	0.112869
Q70J99	UNC13D	-0.0318186	-0.0993176	-0.0455927	0.0602945	0.889367	0.0549288	0.357635	0.163758
Q8TDQ7	GNPDA2	0.0340776	0.159928	-0.138098	0.0720914	0.889367	0.00803265	0.011934	0.133848
Q9BXA9	SALL3	0.0280541	-0.0948849	0.201586	-0.180995	0.889367	0.0346749	0.000220754	0.000162037
O15212	PFDN6	-0.024776	-0.079541	0.0819196	-0.115388	0.892282	0.0567899	0.0414494	0.00319275
Q9UJA2	C20orf155	-0.0244276	0.121329	-0.0960429	0.105302	0.892683	0.00619549	0.0134468	0.00380358
O15527	OGG1	-0.0385857	0.0177424	-0.237218	0.244254	0.893501	0.811777	0.000672738	0.000158232
Q96KA5	CRR9	-0.0190489	-0.119659	0.0639818	-0.035104	0.893501	0.00262158	0.0512489	0.231081
Q9NP79	C6orf55	-0.0263784	0.154065	-0.100803	0.00581731	0.893501	0.00262158	0.0185036	0.896779
P59998	ARPC4	-0.0267956	-0.054695	-0.100533	0.160234	0.893599	0.233504	0.0323188	0.000813761
Q86WR0	CCDC25	0.0191455	0.0946955	-0.0629325	-0.00798102	0.893599	0.00667997	0.0352698	0.798796
Q53ET0	CRTC2	-0.0253589	-0.10823	0.11801	-0.116075	0.894856	0.0102312	0.00389489	0.00202331
Q9P2R3	ANKFY1	0.0212996	-0.0468453	0.0918053	-0.139619	0.89655	0.194337	0.0110395	0.00024371
Q15942	ZYX	-0.026286	-0.116752	-0.0394734	0.0920782	0.897161	0.0186252	0.419544	0.0282542
Q9BZL6	PRKD2	0.0287293	-0.158226	0.125254	-0.127254	0.897161	0.00535643	0.0127484	0.0057467
Q9UKM9	RALY	0.0345293	-0.034143	-0.145797	0.241439	0.897161	0.579443	0.0168843	0.000193236
P05388	RPLP0	-0.03458	0.12014	-0.241407	0.247101	0.900492	0.041509	0.000752681	0.000219158
P07996	THBS1	0.0734954	-0.111398	0.15948	-0.0374906	0.900492	0.372134	0.186123	0.778844
P60891	PRPS1	-0.0220172	0.112671	-0.161305	0.137794	0.900492	0.0067105	0.000420026	0.000433671
Q92888	ARHGEF1	-0.0393514	-0.0942971	-0.107333	0.116627	0.900492	0.176214	0.129019	0.066835
Q96DX4	RSPRY1	-0.0216465	0.0246679	0.0754075	-0.144118	0.900492	0.530768	0.0330383	0.00023635
Q96GR4	ZDHHC12	-0.0341292	-0.0775039	-0.131689	0.15139	0.900492	0.194692	0.0207852	0.00469758
Q9NRR3	CDC42SE2	0.0299316	0.144158	-0.172985	0.192811	0.900492	0.0224833	0.00474837	0.000887936
Q96DN6	MBD6	0.0273979	-0.176748	0.13597	-0.0981183	0.902338	0.00295525	0.00885793	0.0263311
Q6ZMZ0	IBRDC3	-0.0344894	-0.0232014	-0.155379	0.187819	0.903157	0.727813	0.00544125	0.000548097
Q8N129	MGC40499	-0.016837	-0.042158	0.114191	-0.101098	0.903157	0.135068	0.000831253	0.000848924
Q96PM5	RCHY1	-0.0227936	0.0996139	-0.103209	0.0492854	0.903157	0.0282473	0.0168466	0.166631
P62244	RPS15A	0.0210958	0.109052	-0.112975	0.0857952	0.903172	0.00626176	0.0029688	0.00867733
Q96B86	RGMA	-0.0310579	-0.146832	0.0718975	-0.0637262	0.903172	0.00748703	0.107559	0.115727
P51114	FXR1	0.0289896	0.0223885	0.139019	-0.159941	0.903893	0.683142	0.00561006	0.000927491
P24534	EEF1B2	-0.029721	0.162056	-0.132139	0.0906168	0.904607	0.00462132	0.00779573	0.0373706
Q9UN36	NDRG2	-0.036155	-0.236221	0.191546	-0.236448	0.904841	0.00133096	0.00274662	0.000161484
Q9NXF7	FLJ20280	0.0343155	0.15742	-0.208455	0.178792	0.905515	0.0159538	0.00173822	0.00208529
O75319	DUSP11	-0.017118	0.102866	-0.0740173	0.0309124	0.906454	0.00346658	0.0134205	0.241177
Q9NP58	ABCB6	-0.0212946	-0.124652	0.0936298	-0.0623543	0.909125	0.00273082	0.00776211	0.0429053
O95299	NDUFA10	-0.0249601	-0.224478	0.209947	-0.224985	0.910657	0.000141991	0.000185365	2.05E-05
Q0D2I5	HOM-TES-103	0.024084	-0.142771	0.163867	-0.149641	0.910657	0.00617851	0.00140431	0.000922779
Q9UKM7	MAN1B1	0.0170139	-0.107783	0.0190531	-0.00206049	0.910657	0.00387954	0.582966	0.952423
P14635	CCNB1	-0.0487279	-0.117998	0.151576	-0.0427145	0.911519	0.133358	0.0564623	0.614016
P04839	CYBB	0.0298315	0.000153023	0.162915	-0.119879	0.912463	0.999064	0.0035171	0.0102112
Q5TB80	C6orf84	0.0201015	0.148227	-0.0752545	0.0216314	0.912463	0.003499	0.0915707	0.606862
P05388	RPLP0	-0.0402188	0.232147	-0.287008	0.263905	0.912544	0.00489941	0.000667787	0.000462368
P18669	PGAM1	-0.0430142	0.151695	-0.241479	0.32463	0.912544	0.0633706	0.00314625	9.44E-05
Q6GMV3	LOC391356	0.0258772	0.147029	-0.11318	0.031311	0.912544	0.00748703	0.0199698	0.496701
Q8IXK0	PHC2	0.0255427	0.076514	-0.154199	0.19476	0.912544	0.132536	0.00309103	0.00016726
Q8NCY6	KIAA1826	-0.024919	0.16331	-0.0975898	-0.00234422	0.912544	0.00262098	0.0254425	0.962113
Q99551	MTERF	0.0169169	0.0757606	-0.122987	0.103374	0.912544	0.0306211	0.0009496	0.0010814
Q9HB75	LRDD	-0.0284004	-0.0611131	0.0157656	0.0167187	0.912544	0.250346	0.795717	0.75222
Q9Y608	LRRFIP2	-0.0206761	-0.157449	0.16468	-0.149514	0.912544	0.00133096	0.000494482	0.000280598
Q9BTE1	DCTN5	-0.0189653	-0.00903619	-0.1036	0.0888548	0.912609	0.834228	0.00765647	0.0100568
Q13439	GOLGA4	0.0162131	-0.00581133	0.132966	-0.12185	0.913868	0.880906	0.00110629	0.000878697
Q9NP64	ZCCHC17	-0.0182392	0.130947	-0.113143	0.0507858	0.914062	0.00183502	0.00237857	0.0902528
Q9UDV6	ZNF212	0.0201782	-0.0567855	0.158117	-0.177377	0.914062	0.145511	0.000515009	5.95E-05
P12830	CDH1	-0.0366578	-0.199668	0.146007	-0.230525	0.914305	0.0133555	0.0438579	0.000996156
P17568	NDUFB7	0.0179888	0.0757907	-0.125686	0.102847	0.914305	0.0339358	0.0014221	0.00250151
P68871	HBB	0.0761516	0.425585	-0.41914	0.553734	0.914305	0.00535643	0.00333262	0.00011786
Q7Z7F7	MRPL55	-0.0224693	-0.0185684	-0.126424	0.120963	0.914305	0.712187	0.00887562	0.00586623
Q8IYN2	TCEAL8	0.0242688	0.109705	-0.223129	0.230371	0.914305	0.0223927	0.000180701	2.97E-05
Q99615	DNAJC7	-0.0175511	-0.129908	0.154593	-0.156645	0.914305	0.00262158	0.000420026	9.53E-05
Q9BQ70	NULP1	-0.0183826	-0.109465	0.108827	-0.157107	0.914305	0.00938184	0.00580117	0.000162552
Q9UBL3	ASH2L	-0.0195937	0.130354	-0.0889427	0.0429351	0.914305	0.00346658	0.016841	0.195379
P36957	DLST	-0.0201115	-0.310534	0.310405	-0.324075	0.914621	2.60E-06	1.70E-06	3.53E-07
P42574	CASP3	-0.0254582	0.0641945	-0.035528	0.0400855	0.914621	0.215983	0.502777	0.384575
P51116	FXR2	0.0225753	-0.192998	0.0895132	-0.113098	0.914621	0.000558585	0.0282724	0.00356315
